32,1000000,1000000,None
64,1,1,0.0038
64,1,10,0.0036
64,1,100,0.0036
64,1,1000,0.0038
64,1,10000,0.004200000000000001
64,1,100000,0.0108
64,1,1000000,None
64,10,1,0.0036
64,10,10,0.0038
64,10,100,0.0036
64,10,1000,0.0038
64,10,10000,0.004399999999999999
64,10,100000,0.011600000000000001
64,10,1000000,None
64,100,1,0.004
64,100,10,0.0036
64,100,100,0.0034000000000000002
64,100,1000,0.0038
64,100,10000,0.0064
64,100,100000,0.035199999999999995
64,100,1000000,None
64,1000,1,0.0038
64,1000,10,0.0038
64,1000,100,0.004
64,1000,1000,0.0058000000000000005
64,1000,10000,0.027600000000000003
64,1000,100000,0.23900000000000002
64,1000,1000000,None
64,10000,1,0.009600000000000001
64,10000,10,0.004
64,10000,100,0.004200000000000001
64,10000,1000,0.007000000000000001
64,10000,10000,0.032
64,10000,100000,0.2848
64,10000,1000000,None
64,100000,1,0.5098
64,100000,10,0.0164
64,100000,100,0.0068000000000000005
64,100000,1000,0.0124
64,100000,10000,0.0684
64,100000,100000,0.54
64,100000,1000000,None
64,1000000,1,50.3664
64,1000000,10,0.5751999999999999
64,1000000,100,0.0638
64,1000000,1000,0.0446
64,1000000,10000,0.148
64,1000000,100000,1.9123999999999999
64,1000000,1000000,None
128,1,1,0.0054
128,1,10,0.0054
128,1,100,0.0056
128,1,1000,0.0056
128,1,10000,0.0062
128,1,100000,0.0126
128,1,1000000,None
128,10,1,0.0054
128,10,10,0.0054
128,10,100,0.0052
128,10,1000,0.0056
128,10,10000,0.0062
128,10,100000,0.013800000000000002
128,10,1000000,None
128,100,1,0.0054
128,100,10,0.0056
128,100,100,0.0054
128,100,1000,0.0058000000000000005
128,100,10000,0.008400000000000001
128,100,100000,0.0372
128,100,1000000,None
128,1000,1,0.0054
128,1000,10,0.0056
128,1000,100,0.006
128,1000,1000,0.008
128,1000,10000,0.029599999999999998
128,1000,100000,0.2428
128,1000,1000000,None
128,10000,1,0.0112
128,10000,10,0.0058000000000000005
128,10000,100,0.006
128,10000,1000,0.008799999999999999
128,10000,10000,0.0346
128,10000,100000,0.2844
128,10000,1000000,None
128,100000,1,0.5176000000000001
128,100000,10,0.0178
128,100000,100,0.008400000000000001
128,100000,1000,0.0144
128,100000,10000,0.0706
128,100000,100000,0.5446
128,100000,1000000,None
128,1000000,1,50.4844
128,1000000,10,0.5826
128,1000000,100,0.0634
128,1000000,1000,0.046
128,1000000,10000,0.1496
128,1000000,100000,1.9167999999999998
128,1000000,1000000,None
